record_number,accessed_date,cruise_number,sample_date_local,year,vessel_name,transect_name,dist_offshore_nautical_miles,station_depth_meters,station_code,start_time_local,start_lat_decimal_deg_north,start_long_decl_deg_west,salmon_id_number,common_name,genus_species,age_classbylength,tagged_code,tagged_description,count,field_length_millimeters,type_of_length,length_description,method_saved,lab_fork_length_millimeters,lab_weight_grams,pit_code,coded_wire_tag_number,genetic_stock_best_estimate,genetic_stock_best_est_prob,genetic_stock_2nd_best_est,genetic_stock_2nd_bst_est_prob,insulin_like_grwth_fct_1_ng_ml,pct_based_tag_hatchery_asgn,pct_based_tag_prob,fkln_mm_freshw_emg_otolith,nwfsc_parr_source_url,nwfsc_parr_data_citation
Row 15 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35046,Steelhead,Oncorhynchus mykiss,juvenile,NO,NO TAG,1,188,FL (mm),Fork Length,Frozen,,,,,Low_Columbia,1.0,,0.0,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 64 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,100,052515MC10,2015-05-25T11:58:00,46.3315,-124.3562,35142,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,149,FL (mm),Fork Length,Frozen,,,,,Mid&UCR_Sp,0.9593,Snake_Sp,0.0407,66.46594,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 65 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,100,052515MC10,2015-05-25T11:58:00,46.3315,-124.3562,35143,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,204,FL (mm),Fork Length,Frozen,,,,,WR_Sp,1.0,,,80.94684,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 66 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,100,052515MC10,2015-05-25T11:58:00,46.3315,-124.3562,35144,Sockeye salmon,Oncorhynchus nerka,juvenile,Ad,Ad clipped,1,140,FL (mm),Fork Length,Frozen,,,,,Redfish,0.9968,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 67 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,100,052515MC10,2015-05-25T11:58:00,46.3315,-124.3562,35145,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,130,FL (mm),Fork Length,Frozen,,,,,Snake_Sp,0.9984,,,23.37636,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 68 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,100,052515MC10,2015-05-25T11:58:00,46.3315,-124.3562,35146,Chinook salmon,Oncorhynchus tshawytscha,mixed age juvenile,Ad,Ad clipped,1,422,FL (mm),Fork Length,Frozen,,902.4,,,,,,,100.8254,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 69 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,100,052515MC10,2015-05-25T11:58:00,46.3315,-124.3562,35147,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,115,FL (mm),Fork Length,Frozen,,,,,Okanogan,1.0,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 70 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35066,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,217,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.999629,Salmon_R,0.0844,51.62066,Wallowa,1.0,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 71 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35067,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,235,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.999915,,0.0,65.6958,Oxbow,1.0,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 72 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35068,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,193,FL (mm),Fork Length,Frozen,,,,,Clearwater,0.998962,Mid&Up_CR/Low_Snake,0.0312,46.88596,Dworshak,0.999,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 73 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35069,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,245,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.999853,,0.0,61.9284,Wallowa,1.0,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 74 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35070,Steelhead,Oncorhynchus mykiss,juvenile,Ad,Ad clipped,1,196,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.9919,,0.0,53.19057,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 75 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35071,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,199,FL (mm),Fork Length,Frozen,,,,,Salmon_R,0.999581,Salmon_R,0.0236,58.4886,Pahsimeroi,1.0,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 76 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35076,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT,CWT,1,173,FL (mm),Fork Length,Frozen,167,50.7,,636740,Snake_F,0.8754,UCR_Su/F,0.1246,52.94368,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 77 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35077,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,1,145,FL (mm),Fork Length,Frozen,141,26.6,,,Snake_Sp,0.9098,Mid&UCR_Sp,0.0902,39.38496,McCall,0.999013,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 78 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35078,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,152,FL (mm),Fork Length,Frozen,,,,,Mid&UCR_Sp,0.7305,Snake_Sp,0.2695,52.80831,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 79 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35079,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,199,FL (mm),Fork Length,Frozen,,,,,UCR_Su/F,0.9956,,,53.19185,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 80 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35080,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,145,FL (mm),Fork Length,Frozen,,,,,UCR_Su/F,0.994,,,46.24463,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 81 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35081,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,196,FL (mm),Fork Length,Frozen,,,,,WR_Sp,1.0,,,5.557445,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 82 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35082,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,1,150,FL (mm),Fork Length,Frozen,145,27.4,,,Snake_Sp,1.0,,,17.12608,RapidRiver,0.987106,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 83 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35083,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,1,165,FL (mm),Fork Length,Frozen,,,,,UCR_Su/F,0.9505,Snake_F,0.0495,22.5533,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 84 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35084,Hybrid steelhead and cutthroat trout,Steelthroat,juvenile,Ad,Ad clipped,1,272,FL (mm),Fork Length,Frozen,,,,,,,,,72.11454,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 85 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC5,2015-05-24T16:17:00,46.169,-124.442,35085,Coho salmon,Oncorhynchus kisutch,yearling,NO,NO TAG,1,140,FL (mm),Fork Length,Frozen,,,,,,,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 86 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,134,052415MC6,2015-05-24T17:56:00,46.16567,-124.4837,35087,Coho salmon,Oncorhynchus kisutch,yearling,NO,NO TAG,1,164,FL (mm),Fork Length,Frozen,,,,,,,,,73.5579,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 87 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,134,052415MC6,2015-05-24T17:56:00,46.16567,-124.4837,35088,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,165,FL (mm),Fork Length,Frozen,,,,,Mid&UCR_Sp,0.501,Snake_Sp,0.499,62.8559,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 88 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,134,052415MC6,2015-05-24T17:56:00,46.16567,-124.4837,35089,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,1,155,FL (mm),Fork Length,Frozen,149,32.2,,,Snake_Sp,0.982,Mid&UCR_Sp,0.018,44.01969,Sawtooth,0.999703,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 89 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,134,052415MC6,2015-05-24T17:56:00,46.16567,-124.4837,35090,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad,Ad clipped,1,167,FL (mm),Fork Length,Frozen,,,,,Mid&UCR_Sp,1.0,,,67.26108,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 90 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35092,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT,CWT,1,192,FL (mm),Fork Length,Frozen,186,78.0,,636740,Snake_F,0.9792,UCR_Su/F,0.0208,81.84131,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 91 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35093,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,1,147,FL (mm),Fork Length,Frozen,,,,,UCR_Su/F,0.9919,,,21.98037,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 92 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35094,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,1,184,FL (mm),Fork Length,Frozen,,,,,UCR_Su/F,0.9973,,,42.84343,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 93 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35095,Chinook salmon,Oncorhynchus tshawytscha,subyearling,Ad,Ad clipped,1,90,FL (mm),Fork Length,Frozen,,,,,SCG_F,1.0,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 94 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35096,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,115,FL (mm),Fork Length,Frozen,,,,,Okanogan,1.0,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 95 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35097,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,110,FL (mm),Fork Length,Frozen,,,,,Wenatchee,0.9651,Okanogan,0.029,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 96 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35098,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,112,FL (mm),Fork Length,Frozen,,,,,,,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 97 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35099,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,111,FL (mm),Fork Length,Frozen,,,,,Wenatchee,0.8078,Okanogan,0.192,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 98 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-25T00:00:00,2015,Frosti,,,101,052515MC7,2015-05-25T07:31:00,46.33983,-124.3605,35100,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,118,FL (mm),Fork Length,Frozen,,,,,Okanogan,1.0,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
